Order_ID,Product_Name,Category,Quantity,Price_per_Unit,Total_Price,Order_Date,Store_Location,Stock_Available, Customer_Rating ,Revenue_Category,Order_Month,Rating_Category,Month
1,Navratan Mix,Snacks,1,25,25,15-02-2025,Kolkata,250, 4.30 ,Low,February,Good,2025-02
2,Bhel Puri,Snacks,3,35,105,25-07-2024,Lucknow,432, 3.76 ,Low,July,Average,2024-07
3,Navratan Mix,Snacks,7,25,175,21-06-2024,Chennai,517, 3.90 ,Low,June,Average,2024-06
4,Bhel Puri,Snacks,14,35,490,26-03-2025,Chennai,459, 4.50 ,Low,March,Good,2025-03
5,Aloo Bhujia,Snacks,6,20,120,26-09-2024,Pune,348, 3.00 ,Low,September,Average,2024-09
6,Kaju Katli,Sweets,4,150,600,15-09-2024,Mumbai,389, 4.60 ,Medium,September,Good,2024-09
7,Mathri,Snacks,9,40,360,06-09-2024,Delhi,747, 2.80 ,Low,September,Bad,2024-09
8,Soan Papdi,Sweets,3,70,210,05-08-2024,Ahmedabad,300, 4.00 ,Low,August,Good,2024-08
9,Kaju Katli,Sweets,19,150,2850,25-03-2025,Chennai,721, 4.20 ,High,March,Good,2025-03
10,Masala Papad,Appetizers,3,10,30,21-07-2024,Chennai,887, 3.20 ,Low,July,Average,2024-07
11,Kaju Katli,Sweets,6,150,900,01-03-2025,Hyderabad,363, 3.20 ,Medium,March,Average,2025-03
12,Navratan Mix,Snacks,20,25,500,26-03-2025,Bangalore,546, 2.90 ,Medium,March,Bad,2025-03
13,Soan Papdi,Sweets,9,70,630,24-05-2025,Ahmedabad,224, 4.60 ,Medium,May,Good,2025-05
14,Aloo Bhujia,Snacks,8,20,160,09-01-2025,Delhi,824, 3.20 ,Low,January,Average,2025-01
15,Gulab Jamun Tin,Sweets,19,90,1710,15-07-2024,Hyderabad,217, 3.50 ,High,July,Average,2024-07
16,Chana Dal Namkeen,Snacks,5,30,150,27-01-2025,Kolkata,142, 3.90 ,Low,January,Average,2025-01
17,Masala Papad,Appetizers,19,10,190,22-11-2024,Pune,919, 3.40 ,Low,November,Average,2024-11
18,Rasgulla Tin,Sweets,17,80,1360,24-06-2024,Jaipur,93, 4.70 ,High,June,Good,2024-06
19,Rasgulla Tin,Sweets,6,80,480,23-06-2024,Pune,610, 3.50 ,Low,June,Average,2024-06
20,Chana Dal Namkeen,Snacks,17,30,510,18-07-2024,Kolkata,994, 4.90 ,Medium,July,Good,2024-07
21,Navratan Mix,Snacks,18,25,450,04-09-2024,Kolkata,787, 2.80 ,Low,September,Bad,2024-09
22,Soan Papdi,Sweets,6,70,420,10-09-2024,Jaipur,3, 4.70 ,Low,September,Good,2024-09
23,Masala Papad,Appetizers,17,10,170,25-12-2024,Bangalore,519, 4.70 ,Low,December,Good,2024-12
24,Masala Papad,Appetizers,17,10,170,31-01-2025,Lucknow,203, 4.40 ,Low,January,Good,2025-01
25,Bhel Puri,Snacks,17,35,595,22-06-2024,Delhi,613, 2.50 ,Medium,June,Bad,2024-06
26,Kaju Katli,Sweets,10,150,1500,15-01-2025,Chennai,59, 3.90 ,High,January,Average,2025-01
27,Navratan Mix,Snacks,3,25,75,28-08-2024,Jaipur,835, 4.40 ,Low,August,Good,2024-08
28,Rasgulla Tin,Sweets,5,80,400,17-03-2025,Jaipur,969, 3.20 ,Low,March,Average,2025-03
29,Mathri,Snacks,14,40,560,19-02-2025,Chennai,951, 4.30 ,Medium,February,Good,2025-02
30,Gulab Jamun Tin,Sweets,10,90,900,11-03-2025,Pune,687, 3.60 ,Medium,March,Average,2025-03
31,Bhel Puri,Snacks,15,35,525,09-01-2025,Mumbai,253, 3.30 ,Medium,January,Average,2025-01
32,Mathri,Snacks,18,40,720,21-11-2024,Chennai,602, 2.70 ,Medium,November,Bad,2024-11
33,Aloo Bhujia,Snacks,8,20,160,05-09-2024,Mumbai,927, 3.76 ,Low,September,Average,2024-09
34,Kaju Katli,Sweets,3,150,450,03-12-2024,Ahmedabad,243, 3.70 ,Low,December,Average,2024-12
35,Bhel Puri,Snacks,5,35,175,26-01-2025,Lucknow,590, 4.50 ,Low,January,Good,2025-01
36,Soan Papdi,Sweets,7,70,490,28-09-2024,Mumbai,99, 3.40 ,Low,September,Average,2024-09
37,Soan Papdi,Sweets,15,70,1050,22-04-2025,Delhi,689, 4.10 ,High,April,Good,2025-04
38,Aloo Bhujia,Snacks,13,20,260,15-05-2025,Hyderabad,819, 3.10 ,Low,May,Average,2025-05
39,Gulab Jamun Tin,Sweets,18,90,1620,14-06-2024,Jaipur,143, 3.20 ,High,June,Average,2024-06
40,Gulab Jamun Tin,Sweets,3,90,270,02-04-2025,Jaipur,827, 3.90 ,Low,April,Average,2025-04
41,Aloo Bhujia,Snacks,18,20,360,20-04-2025,Delhi,992, 4.40 ,Low,April,Good,2025-04
42,Gulab Jamun Tin,Sweets,6,90,540,13-08-2024,Pune,497, 4.70 ,Medium,August,Good,2024-08
43,Aloo Bhujia,Snacks,6,20,120,10-03-2025,Pune,2, 3.20 ,Low,March,Average,2025-03
44,Chana Dal Namkeen,Snacks,10,30,300,23-11-2024,Pune,713, 5.00 ,Low,November,Good,2024-11
45,Bhel Puri,Snacks,16,35,560,22-10-2024,Bangalore,194, 4.90 ,Medium,October,Good,2024-10
46,Mathri,Snacks,18,40,720,27-09-2024,Delhi,765, 2.60 ,Medium,September,Bad,2024-09
47,Chana Dal Namkeen,Snacks,17,30,510,11-08-2024,Ahmedabad,161, 3.80 ,Medium,August,Average,2024-08
48,Rasgulla Tin,Sweets,3,80,240,03-09-2024,Lucknow,69, 3.10 ,Low,September,Average,2024-09
49,Navratan Mix,Snacks,19,25,475,04-04-2025,Chennai,592, 4.00 ,Low,April,Good,2025-04
50,Soan Papdi,Sweets,19,70,1330,20-10-2024,Lucknow,535, 3.20 ,High,October,Average,2024-10
51,Kaju Katli,Sweets,8,150,1200,21-07-2024,Kolkata,405, 4.10 ,High,July,Good,2024-07
52,Chana Dal Namkeen,Snacks,11,30,330,18-07-2024,Mumbai,9, 5.00 ,Low,July,Good,2024-07
53,Navratan Mix,Snacks,3,25,75,06-11-2024,Ahmedabad,218, 2.80 ,Low,November,Bad,2024-11
54,Kaju Katli,Sweets,3,150,450,19-07-2024,Chennai,378, 3.60 ,Low,July,Average,2024-07
55,Bhel Puri,Snacks,10,35,350,29-10-2024,Lucknow,826, 2.50 ,Low,October,Bad,2024-10
56,Bhel Puri,Snacks,10,35,350,07-05-2025,Mumbai,961, 3.20 ,Low,May,Average,2025-05
57,Navratan Mix,Snacks,18,25,450,23-10-2024,Bangalore,278, 3.00 ,Low,October,Average,2024-10
58,Kaju Katli,Sweets,7,150,1050,01-02-2025,Kolkata,517, 4.80 ,High,February,Good,2025-02
59,Aloo Bhujia,Snacks,3,20,60,22-09-2024,Pune,849, 2.50 ,Low,September,Bad,2024-09
60,Rasgulla Tin,Sweets,9,80,720,21-04-2025,Bangalore,759, 4.30 ,Medium,April,Good,2025-04
61,Bhel Puri,Snacks,1,35,35,28-06-2024,Mumbai,77, 4.20 ,Low,June,Good,2024-06
62,Rasgulla Tin,Sweets,18,80,1440,22-03-2025,Delhi,854, 3.90 ,High,March,Average,2025-03
63,Soan Papdi,Sweets,5,70,350,07-12-2024,Delhi,315, 4.80 ,Low,December,Good,2024-12
64,Aloo Bhujia,Snacks,12,20,240,06-01-2025,Chennai,698, 2.80 ,Low,January,Bad,2025-01
65,Bhel Puri,Snacks,14,35,490,30-07-2024,Lucknow,767, 4.80 ,Low,July,Good,2024-07
66,Rasgulla Tin,Sweets,6,80,480,05-06-2025,Pune,25, 4.80 ,Low,June,Good,2025-06
67,Soan Papdi,Sweets,8,70,560,06-11-2024,Kolkata,163, 2.80 ,Medium,November,Bad,2024-11
68,Aloo Bhujia,Snacks,16,20,320,12-07-2024,Chennai,204, 3.70 ,Low,July,Average,2024-07
69,Masala Papad,Appetizers,8,10,80,12-01-2025,Chennai,24, 3.50 ,Low,January,Average,2025-01
70,Masala Papad,Appetizers,3,10,30,03-10-2024,Kolkata,359, 3.50 ,Low,October,Average,2024-10
71,Bhel Puri,Snacks,11,35,385,30-04-2025,Delhi,118, 3.20 ,Low,April,Average,2025-04
72,Mathri,Snacks,9,40,360,11-02-2025,Delhi,111, 3.40 ,Low,February,Average,2025-02
73,Kaju Katli,Sweets,14,150,2100,07-02-2025,Lucknow,523, 4.70 ,High,February,Good,2025-02
74,Gulab Jamun Tin,Sweets,9,90,810,21-05-2025,Delhi,725, 3.80 ,Medium,May,Average,2025-05
75,Bhel Puri,Snacks,7,35,245,12-05-2025,Hyderabad,441, 4.20 ,Low,May,Good,2025-05
76,Kaju Katli,Sweets,20,150,3000,30-10-2024,Hyderabad,679, 4.30 ,High,October,Good,2024-10
77,Masala Papad,Appetizers,17,10,170,22-01-2025,Kolkata,682, 3.50 ,Low,January,Average,2025-01
78,Masala Papad,Appetizers,18,10,180,25-08-2024,Bangalore,196, 4.90 ,Low,August,Good,2024-08
79,Rasgulla Tin,Sweets,20,80,1600,12-03-2025,Lucknow,308, 4.60 ,High,March,Good,2025-03
80,Masala Papad,Appetizers,10,10,100,09-07-2024,Chennai,440, 4.00 ,Low,July,Good,2024-07
81,Kaju Katli,Sweets,15,150,2250,29-06-2024,Jaipur,452, 3.80 ,High,June,Average,2024-06
82,Rasgulla Tin,Sweets,3,80,240,23-02-2025,Kolkata,527, 4.00 ,Low,February,Good,2025-02
83,Navratan Mix,Snacks,8,25,200,08-09-2024,Kolkata,230, 2.90 ,Low,September,Bad,2024-09
84,Aloo Bhujia,Snacks,8,20,160,08-04-2025,Jaipur,625, 2.70 ,Low,April,Bad,2025-04
85,Soan Papdi,Sweets,19,70,1330,02-10-2024,Chennai,735, 3.70 ,High,October,Average,2024-10
86,Gulab Jamun Tin,Sweets,5,90,450,12-07-2024,Delhi,914, 4.40 ,Low,July,Good,2024-07
87,Navratan Mix,Snacks,14,25,350,10-05-2025,Chennai,180, 4.20 ,Low,May,Good,2025-05
88,Chana Dal Namkeen,Snacks,2,30,60,10-09-2024,Ahmedabad,255, 2.80 ,Low,September,Bad,2024-09
89,Rasgulla Tin,Sweets,15,80,1200,14-05-2025,Ahmedabad,572, 4.90 ,High,May,Good,2025-05
90,Chana Dal Namkeen,Snacks,20,30,600,21-07-2024,Ahmedabad,436, 3.90 ,Medium,July,Average,2024-07
91,Rasgulla Tin,Sweets,16,80,1280,06-11-2024,Jaipur,265, 4.60 ,High,November,Good,2024-11
92,Masala Papad,Appetizers,17,10,170,27-09-2024,Jaipur,641, 3.60 ,Low,September,Average,2024-09
93,Masala Papad,Appetizers,8,10,80,05-12-2024,Kolkata,343, 3.90 ,Low,December,Average,2024-12
94,Rasgulla Tin,Sweets,5,80,400,13-02-2025,Chennai,392, 4.30 ,Low,February,Good,2025-02
95,Navratan Mix,Snacks,14,25,350,01-05-2025,Pune,338, 3.50 ,Low,May,Average,2025-05
96,Gulab Jamun Tin,Sweets,14,90,1260,31-10-2024,Pune,926, 4.90 ,High,October,Good,2024-10
97,Aloo Bhujia,Snacks,19,20,380,14-08-2024,Pune,488, 3.76 ,Low,August,Average,2024-08
98,Kaju Katli,Sweets,10,150,1500,02-11-2024,Pune,873, 4.60 ,High,November,Good,2024-11
99,Bhel Puri,Snacks,18,35,630,27-10-2024,Lucknow,919, 3.00 ,Medium,October,Average,2024-10
100,Soan Papdi,Sweets,16,70,1120,01-09-2024,Delhi,398, 4.20 ,High,September,Good,2024-09
101,Soan Papdi,Sweets,6,70,420,27-02-2025,Jaipur,941, 4.10 ,Low,February,Good,2025-02
102,Aloo Bhujia,Snacks,13,20,260,23-09-2024,Lucknow,577, 2.70 ,Low,September,Bad,2024-09
103,Soan Papdi,Sweets,5,70,350,11-03-2025,Jaipur,186, 3.40 ,Low,March,Average,2025-03
104,Gulab Jamun Tin,Sweets,15,90,1350,10-06-2025,Hyderabad,345, 3.40 ,High,June,Average,2025-06
105,Soan Papdi,Sweets,9,70,630,04-03-2025,Mumbai,481, 3.76 ,Medium,March,Average,2025-03
106,Bhel Puri,Snacks,2,35,70,18-02-2025,Hyderabad,229, 4.50 ,Low,February,Good,2025-02
107,Aloo Bhujia,Snacks,1,20,20,09-07-2024,Chennai,204, 4.10 ,Low,July,Good,2024-07
108,Gulab Jamun Tin,Sweets,5,90,450,03-02-2025,Jaipur,685, 4.90 ,Low,February,Good,2025-02
109,Chana Dal Namkeen,Snacks,9,30,270,13-02-2025,Hyderabad,171, 4.90 ,Low,February,Good,2025-02
110,Navratan Mix,Snacks,6,25,150,17-08-2024,Kolkata,110, 4.80 ,Low,August,Good,2024-08
111,Mathri,Snacks,13,40,520,05-01-2025,Pune,964, 2.70 ,Medium,January,Bad,2025-01
112,Gulab Jamun Tin,Sweets,4,90,360,22-03-2025,Kolkata,870, 4.50 ,Low,March,Good,2025-03
113,Mathri,Snacks,2,40,80,15-09-2024,Hyderabad,545, 3.40 ,Low,September,Average,2024-09
114,Bhel Puri,Snacks,11,35,385,14-08-2024,Delhi,869, 3.70 ,Low,August,Average,2024-08
115,Soan Papdi,Sweets,12,70,840,08-12-2024,Jaipur,724, 2.90 ,Medium,December,Bad,2024-12
116,Bhel Puri,Snacks,9,35,315,06-11-2024,Lucknow,827, 4.40 ,Low,November,Good,2024-11
117,Chana Dal Namkeen,Snacks,14,30,420,24-09-2024,Lucknow,274, 3.10 ,Low,September,Average,2024-09
118,Navratan Mix,Snacks,9,25,225,06-06-2025,Jaipur,249, 3.90 ,Low,June,Average,2025-06
119,Soan Papdi,Sweets,11,70,770,15-02-2025,Delhi,506, 3.00 ,Medium,February,Average,2025-02
120,Gulab Jamun Tin,Sweets,12,90,1080,06-03-2025,Kolkata,348, 4.00 ,High,March,Good,2025-03
121,Masala Papad,Appetizers,18,10,180,14-01-2025,Delhi,529, 2.70 ,Low,January,Bad,2025-01
122,Soan Papdi,Sweets,16,70,1120,05-09-2024,Ahmedabad,776, 3.70 ,High,September,Average,2024-09
123,Chana Dal Namkeen,Snacks,15,30,450,04-03-2025,Delhi,95, 3.50 ,Low,March,Average,2025-03
124,Gulab Jamun Tin,Sweets,10,90,900,15-10-2024,Lucknow,377, 3.80 ,Medium,October,Average,2024-10
125,Soan Papdi,Sweets,18,70,1260,05-05-2025,Hyderabad,360, 3.20 ,High,May,Average,2025-05
126,Masala Papad,Appetizers,8,10,80,06-04-2025,Mumbai,738, 2.80 ,Low,April,Bad,2025-04
127,Bhel Puri,Snacks,6,35,210,09-04-2025,Chennai,221, 3.20 ,Low,April,Average,2025-04
128,Mathri,Snacks,17,40,680,03-07-2024,Lucknow,289, 4.60 ,Medium,July,Good,2024-07
129,Masala Papad,Appetizers,8,10,80,08-09-2024,Hyderabad,183, 4.30 ,Low,September,Good,2024-09
130,Rasgulla Tin,Sweets,9,80,720,27-04-2025,Delhi,997, 3.20 ,Medium,April,Average,2025-04
131,Rasgulla Tin,Sweets,16,80,1280,24-06-2024,Mumbai,893, 3.76 ,High,June,Average,2024-06
132,Masala Papad,Appetizers,16,10,160,20-04-2025,Jaipur,451, 4.90 ,Low,April,Good,2025-04
133,Masala Papad,Appetizers,16,10,160,12-10-2024,Mumbai,841, 3.70 ,Low,October,Average,2024-10
134,Mathri,Snacks,2,40,80,14-11-2024,Bangalore,152, 4.90 ,Low,November,Good,2024-11
135,Navratan Mix,Snacks,8,25,200,23-09-2024,Mumbai,571, 4.00 ,Low,September,Good,2024-09
136,Mathri,Snacks,8,40,320,07-07-2024,Ahmedabad,389, 3.60 ,Low,July,Average,2024-07
137,Mathri,Snacks,14,40,560,01-09-2024,Kolkata,582, 4.00 ,Medium,September,Good,2024-09
138,Navratan Mix,Snacks,7,25,175,01-06-2025,Chennai,270, 2.90 ,Low,June,Bad,2025-06
139,Rasgulla Tin,Sweets,18,80,1440,18-01-2025,Mumbai,160, 3.76 ,High,January,Average,2025-01
140,Chana Dal Namkeen,Snacks,20,30,600,18-05-2025,Jaipur,298, 3.76 ,Medium,May,Average,2025-05
141,Masala Papad,Appetizers,10,10,100,17-03-2025,Jaipur,72, 4.80 ,Low,March,Good,2025-03
142,Mathri,Snacks,7,40,280,12-10-2024,Pune,117, 4.10 ,Low,October,Good,2024-10
143,Masala Papad,Appetizers,5,10,50,02-09-2024,Mumbai,61, 3.30 ,Low,September,Average,2024-09
144,Mathri,Snacks,10,40,400,21-02-2025,Jaipur,127, 3.30 ,Low,February,Average,2025-02
145,Soan Papdi,Sweets,9,70,630,22-12-2024,Ahmedabad,552, 2.70 ,Medium,December,Bad,2024-12
146,Aloo Bhujia,Snacks,14,20,280,12-11-2024,Hyderabad,618, 2.70 ,Low,November,Bad,2024-11
147,Mathri,Snacks,19,40,760,21-05-2025,Delhi,783, 3.20 ,Medium,May,Average,2025-05
148,Aloo Bhujia,Snacks,6,20,120,02-06-2025,Jaipur,531, 4.80 ,Low,June,Good,2025-06
149,Rasgulla Tin,Sweets,19,80,1520,16-02-2025,Pune,650, 4.90 ,High,February,Good,2025-02
150,Chana Dal Namkeen,Snacks,12,30,360,07-12-2024,Pune,341, 2.80 ,Low,December,Bad,2024-12
151,Rasgulla Tin,Sweets,11,80,880,06-08-2024,Pune,710, 4.20 ,Medium,August,Good,2024-08
152,Soan Papdi,Sweets,18,70,1260,22-09-2024,Delhi,465, 3.10 ,High,September,Average,2024-09
