Order_ID,Product_Name,Category,Quantity,Price_per_Unit,Total_Price,Order_Date,Store_Location,Stock_Available,Customer_Rating
1,Navratan Mix,Snacks,1,25,25,2025-02-15,Kolkata,250,4.3
2,Bhel Puri,Snacks,3,35,105,2024-07-25,Lucknow,432,
3,Navratan Mix,Snacks,7,25,175,2024-06-21,Chennai,517,3.9
4,Bhel Puri,Snacks,14,35,490,2025-03-26,Chennai,459,4.5
5,Aloo Bhujia,Snacks,6,20,120,2024-09-26,Pune,348,3.0
6,Kaju Katli,Sweets,4,150,600,2024-09-15,Mumbai,389,4.6
7,Mathri,Snacks,9,40,360,2024-09-06,Delhi,747,2.8
8,Soan Papdi,Sweets,3,70,210,2024-08-05,Ahmedabad,300,4.0
9,Kaju Katli,Sweets,19,150,2850,2025-03-25,Chennai,721,4.2
10,Masala Papad,Appetizers,3,10,30,2024-07-21,Chennai,887,3.2
11,Kaju Katli,Sweets,6,150,900,2025-03-01,Hyderabad,363,3.2
12,Navratan Mix,Snacks,20,25,500,2025-03-26,Bangalore,546,2.9
13,Soan Papdi,Sweets,9,70,630,2025-05-24,Ahmedabad,224,4.6
14,Aloo Bhujia,Snacks,8,20,160,2025-01-09,Delhi,824,3.2
15,Gulab Jamun Tin,Sweets,19,90,1710,2024-07-15,Hyderabad,217,3.5
16,Chana Dal Namkeen,Snacks,5,30,150,2025-01-27,Kolkata,142,3.9
17,Masala Papad,Appetizers,19,10,190,2024-11-22,Pune,919,3.4
18,Rasgulla Tin,Sweets,17,80,1360,2024-06-24,Jaipur,93,4.7
19,Rasgulla Tin,Sweets,6,80,480,2024-06-23,Pune,610,3.5
20,Chana Dal Namkeen,Snacks,17,30,510,2024-07-18,Kolkata,994,4.9
21,Navratan Mix,Snacks,18,25,450,2024-09-04,Kolkata,787,2.8
22,Soan Papdi,Sweets,6,70,420,2024-09-10,Jaipur,3,4.7
23,Masala Papad,Appetizers,17,10,170,2024-12-25,Bangalore,519,4.7
24,Masala Papad,Appetizers,17,10,170,2025-01-31,Lucknow,203,4.4
25,Bhel Puri,Snacks,17,35,595,2024-06-22,Delhi,613,2.5
26,Kaju Katli,Sweets,10,150,1500,2025-01-15,Chennai,59,3.9
27,Navratan Mix,Snacks,3,25,75,2024-08-28,Jaipur,835,4.4
28,Rasgulla Tin,Sweets,5,80,400,2025-03-17,Jaipur,969,3.2
29,Mathri,Snacks,14,40,560,2025-02-19,Chennai,951,4.3
